"","Name","VarianceFantasyEvaluation","PlayedMatches","Team","Role","MedianFantasyEvaluation","WeightedFantasyEvaluation","Qt..A","Qt..I","Plays2018_2019","Owner","Price","MantraRole","MeanFantasyEvaluation"
"196","DE VRIJ",1.9777777778,36,"Lazio","D",6.5,6.4210526316,18,17,NA,"GATTI",18,"Dc",6.7875
"197","DEFREL",1.1595238095,15,"Roma","A",5.5,2.3157894737,22,20,NA,"",NA,"Pc",6.65789473684211
"198","DEIOLA",0.1442307692,13,"Cagliari","C",6,2.0394736842,3,3,NA,"",NA,"C",5.96875
"199","DEIOLA",0.1442307692,13,"Cagliari","C",6,2.0394736842,3,3,NA,"",NA,"M",5.96875
"200","DELL'ORCO",0.3169642857,8,"Sassuolo","D",6,1.2763157895,3,4,NA,"",NA,"Ds",6.2
"201","DELL'ORCO",0.3169642857,8,"Sassuolo","D",6,1.2763157895,3,4,NA,"",NA,"Dc",6.2
"202","DEPAOLI",0.2032163743,19,"Chievo","C",6,2.8947368421,5,4,NA,"",NA,"E",5.80434782608696
"203","DEPAOLI",0.2032163743,19,"Chievo","C",6,2.8947368421,5,4,NA,"",NA,"M",5.80434782608696
"204","DEPAOLI",0.2032163743,19,"Chievo","C",6,2.8947368421,5,4,NA,"",NA,"Dd",5.80434782608696
"205","DESSENA",0.0955882353,17,"Cagliari","C",6,2.5921052632,3,3,NA,"",NA,"E",5.8
"206","DESSENA",0.0955882353,17,"Cagliari","C",6,2.5921052632,3,3,NA,"",NA,"M",5.8
"207","DESTRO",5.0338461538,26,"Bologna","A",6,4.5,12,13,NA,"",NA,"Pc",6.45
"208","DI FRANCESCO F",1.0851449275,24,"Bologna","A",6,3.9736842105,13,14,NA,"",NA,"W",6.5
"209","DI FRANCESCO F",1.0851449275,24,"Bologna","A",6,3.9736842105,13,14,NA,"",NA,"A",6.5
"210","DI GAUDIO",NA,1,NA,"C",NA,0,4,4,NA,"",NA,"W",5.7
"211","DI GAUDIO",NA,1,NA,"C",NA,0,4,4,NA,"",NA,"A",5.7
"212","DI LORENZO",NA,10,NA,"D",NA,1.5935300604,6,5,NA,"",NA,"Dd",6.2
"213","DI LORENZO",NA,10,NA,"D",NA,1.5935300604,6,5,NA,"",NA,"E",6.2
"214","DIAWARA",1.033496732,18,"Napoli","C",6,2.9868421053,9,9,NA,"",NA,"C",6.21428571428571
"215","DIAWARA",1.033496732,18,"Napoli","C",6,2.9868421053,9,9,NA,"",NA,"M",6.21428571428571
"216","DIJKS",NA,10,NA,"D",NA,1.5935300604,7,5,NA,"",NA,"Ds",6.125
"217","DIJKS",NA,10,NA,"D",NA,1.5935300604,7,5,NA,"",NA,"E",6.125
"218","DIMARCO",NA,10,NA,"D",NA,1.5935300604,4,5,NA,"",NA,"Ds",7.66666666666667
"219","DIMARCO",NA,10,NA,"D",NA,1.5935300604,4,5,NA,"",NA,"E",7.66666666666667
"220","DJIMSITI",0.6333333333,30,"Benevento","D",5.5,4.3947368421,3,2,NA,"",NA,"Dc",5.59090909090909
"221","DJORDJEVIC",NA,33,NA,"A",NA,5.2214092516,10,11,NA,"",NA,"Pc",5.25
"222","DJOUROU",NA,31,NA,"D",NA,4.4001562034,7,8,NA,"",NA,"Dc",5.5
"223","DJURICIC",0.6,16,"Benevento","C",6,2.5263157895,4,5,NA,"",NA,"T",5.97058823529412
"224","DONNARUMMA G",1.5741465149,38,"Milan","P",5,4.9868421053,11,12,NA,"",NA,"Por",4.91666666666667
"225","DONSAH",1.4523809524,28,"Bologna","C",6,4.6315789474,7,8,NA,"",NA,"M",6.28571428571429
"226","DONSAH",1.4523809524,28,"Bologna","C",6,4.6315789474,7,8,NA,"",NA,"C",6.28571428571429
"227","DOUGLAS COSTA",2.247311828,31,"Juventus","C",6.5,5.8947368421,24,24,NA,"GATTI",20,"W",7.07142857142857
"228","DRAGOWSKI",5.3333333333,3,"Fiorentina","P",1.5,0.2236842105,2,1,NA,"",NA,"Por",3.9
"229","DUNCAN",0.5815384615,26,"Sassuolo","C",5.75,3.9736842105,8,8,NA,"",NA,"C",5.88709677419355
"230","DUNCAN",0.5815384615,26,"Sassuolo","C",5.75,3.9736842105,8,8,NA,"",NA,"M",5.88709677419355
"231","DURMISI",NA,10,NA,"D",NA,1.5935300604,4,5,NA,"",NA,"Ds",6
"232","DURMISI",NA,10,NA,"D",NA,1.5935300604,4,5,NA,"",NA,"E",6
